time,temperature,KE,PE,TE,P
3.114999999999956,1.253550086053415,1.8803251290801224,-5.7240481911157435,-3.8437230620356204,14.210397832513229
3.1199999999999557,1.2588826609146462,1.8883239913719692,-5.732110623370675,-3.843786631998706,14.124297018104762
3.1249999999999556,1.2678793212502515,1.9018189818753772,-5.745729001891601,-3.843910020016224,13.978710499861736
3.1299999999999555,1.2791981120345135,1.9187971680517704,-5.762890173113292,-3.8440930050615214,13.795330351908015
3.1349999999999554,1.290841148919293,1.9362617233789396,-5.7805824744113545,-3.8443207510324147,13.6066316733992
3.1399999999999553,1.3004156007872845,1.9506234011809267,-5.795152035852091,-3.8445286346711645,13.453194607403164
3.144999999999955,1.3057107927168863,1.9585661890753294,-5.803243242724393,-3.8446770536490633,13.372448517371183
3.149999999999955,1.305192967601788,1.957789451402682,-5.80253068584768,-3.8447412344449976,13.390612406753068
3.154999999999955,1.2983448533940534,1.94751728009108,-5.792206713082026,-3.844689432990946,13.517885859728404
3.159999999999955,1.28600266002649,1.9290039900397349,-5.773492649359064,-3.8444886593193295,13.74210145447628
3.1649999999999547,1.2705792471836648,1.9058688707754974,-5.750022848236083,-3.8441539774605853,14.022238223100276
3.1699999999999546,1.2556885084264378,1.8835327626396565,-5.727371305515535,-3.8438385428758783,14.292730458982973
3.1749999999999545,1.2445267984472101,1.8667901976708154,-5.710586140318542,-3.8437959426477266,14.491944832755612
3.1799999999999544,1.2377729130285524,1.8566593695428284,-5.700694742426214,-3.8440353728833863,14.607946375354365
3.1849999999999543,1.2335465127875982,1.8503197691813973,-5.694594128027718,-3.8442743588463197,14.6806926304628
3.189999999999954,1.2296742226674775,1.8445113340012163,-5.688839429629075,-3.844328095627859,14.752470484916165
3.194999999999954,1.225483917163181,1.8382258757447716,-5.682449019646799,-3.844223143902027,14.833752140039222
3.199999999999954,1.2217475082553932,1.83262126238309,-5.676708295637128,-3.844087033254038,14.907289378600481
3.204999999999954,1.219634692253889,1.8294520383808335,-5.673460250127471,-3.8440082117466376,14.950495659314065
3.209999999999954,1.2198715445544583,1.8298073168316875,-5.673801738132567,-3.8439944213008794,14.951016726743235
3.2149999999999537,1.2225367246436694,1.8338050869655043,-5.677834595603206,-3.8440295086377008,14.90845900791666
3.2199999999999536,1.2271702554806936,1.8407553832210404,-5.684860652273713,-3.844105269052672,14.831122815165084
